time	type	info
63608497694127.328	log	started
63608497697584.109	window	opened main
63608497698069.570	flip	show start
63608497698145.914	experiment	using existing block order
63608497698207.125	experiment	Setting nCorrect to 0
63608497727149.547	window	closed
63608497727472.258	log	ended
63608497788616.406	log	started
63608497791560.734	window	opened main
63608497791733.922	flip	show start
63608497791751.992	experiment	using default block order
63608497791793.906	experiment	Setting nCorrect to 0
63608498587697.289	keyboard	down: response
63608498592001.023	keyboard	down: response
63608498643584.836	keyboard	down: response
63608498651225.430	keyboard	down: response
63608498677527.281	keyboard	down: response
63608499358000.758	keyboard	down: response
63608499478744.312	keyboard	down: response
63608499626022.617	keyboard	down: response
63608499834844.375	keyboard	down: response
63608499967746.344	experiment	run 1 start
63608499967795.891	flip	waiting for scanner
63608499967917.547	experiment	rest
63608499968062.602	flip	block 1, type: level one | same
63608499968067.359	experiment	waiting (for prompt HRF decay)
63608499968105.656	experiment	trial 1
63608500070592.930	experiment	run 1 start
63608500070628.219	flip	waiting for scanner
63608500070678.484	experiment	rest
63608500070811.586	flip	block 1, type: level one | same
63608500070815.305	experiment	waiting (for prompt HRF decay)
63608500070853.422	experiment	trial 1
63608500113448.438	experiment	run 1 start
63608500113468.117	flip	waiting for scanner
63608500113515.086	experiment	rest
63608500113634.805	flip	block 1, type: level one | same
63608500113638.633	experiment	waiting (for prompt HRF decay)
63608500113676.883	experiment	trial 1
63608500114921.805	keyboard	down: response
63608500165392.562	experiment	run 1 start
63608500165409.406	flip	waiting for scanner
63608500165458.172	experiment	rest
63608500165576.102	flip	block 1, type: level one | same
63608500165578.445	experiment	waiting (for prompt HRF decay)
63608500165603.391	experiment	trial 1
63608500166641.602	keyboard	down: response
63608500166672.422	experiment	feedback (y, 1/1)
63608500167845.500	experiment	trial 2
63608500173377.266	keyboard	down: response
63608500173400.383	experiment	feedback (n, 1/2)
63608500174480.016	experiment	trial 3
63608500175194.133	keyboard	down: response
63608500175217.328	experiment	feedback (n, 1/3)
63608500176296.992	experiment	trial 4
63608500177193.484	keyboard	down: response
63608500177217.648	experiment	feedback (y, 2/4)
63608500178297.266	experiment	trial 5
63608500179025.719	keyboard	down: response
63608500179051.227	experiment	feedback (n, 2/5)
63608500180130.984	experiment	trial 6
63608500181097.211	keyboard	down: response
63608500181118.609	experiment	feedback (n, 2/6)
63608500182198.031	experiment	trial 7
63608500182657.203	keyboard	down: response
63608500182668.828	experiment	feedback (n, 2/7)
63608500183748.398	experiment	trial 8
63608500184321.195	keyboard	down: response
63608500184339.477	experiment	feedback (n, 2/8)
63608500185415.875	experiment	trial 9
63608500185953.195	keyboard	down: response
63608500185974.297	experiment	feedback (n, 2/9)
63608500187066.266	experiment	trial 10
63608500187569.570	keyboard	down: response
63608500187593.797	experiment	feedback (y, 3/10)
63608500188700.180	experiment	trial 11
63608500189185.172	keyboard	down: response
63608500189208.945	experiment	feedback (n, 3/11)
63608500190283.812	experiment	trial 12
63608500190825.156	keyboard	down: response
63608500190857.578	experiment	feedback (y, 4/12)
63608500191950.352	experiment	trial 13
63608500192441.148	keyboard	down: response
63608500192457.625	experiment	feedback (y, 5/13)
63608500193550.617	experiment	trial 14
63608500193905.375	keyboard	down: response
63608500193924.656	experiment	feedback (y, 6/14)
63608500195018.219	experiment	trial 15
63608500195489.109	keyboard	down: response
63608500195508.109	experiment	feedback (y, 7/15)
63608500196584.398	experiment	trial 16
63608500196993.250	keyboard	down: response
63608500197025.203	experiment	feedback (n, 7/16)
63608500198118.320	experiment	trial 17
63608500198649.234	keyboard	down: response
63608500198675.289	experiment	feedback (n, 7/17)
63608500199768.531	experiment	trial 18
63608500200297.094	keyboard	down: response
63608500200325.617	experiment	feedback (n, 7/18)
63608500201421.523	experiment	trial 19
63608500201993.781	keyboard	down: response
63608500202028.852	experiment	feedback (y, 8/19)
63608500203135.781	experiment	trial 20
63608500203625.328	keyboard	down: response
63608500203665.391	experiment	feedback (y, 9/20)
63608500204785.805	experiment	trial 21
63608500205425.164	keyboard	down: response
63608500205443.320	experiment	feedback (y, 10/21)
63608500206539.148	experiment	trial 22
63608500207185.234	keyboard	down: response
63608500207210.148	experiment	feedback (y, 11/22)
63608500208302.641	experiment	trial 23
63608500209609.000	keyboard	down: response
63608500209623.797	experiment	feedback (y, 12/23)
63608500210706.469	experiment	trial 24
63608500211257.008	keyboard	down: response
